EXP 378 Samples Processing Log,,,,,,,,,,Age model based on CCSF-ABCDE-20200924,,,,,,,Ich Accum (prelim),,,Dry log,,Initial wash (DI water whole sample),,,,Acid Wash,,,Heavy Liquid Step,,,Alizarin Dye Step,,,Picking Log,,,>150 um,,,106-150 um,,,63-106 um,,,38-63 um,,,Don't edit this one,Edit this one!,,Imaging Log,Yale keyence only,,,Segmenting,"Green = complete ""final"" segment",
Serial #,Exp,Site,Hole,Core,Core Type,Sect,Half,Top (cm),Bottom (cm),Top depth CCSF-378-U1553-ABCDE-20200924 (m),Bottom depth CCSF-378-U1553-ABCDE-20200924 (m),Mid-depth CCSF (calc),Age (Linear Interpolation),Sedimentation Rate (cm/Kyr),Sedimentation Rate (cm/Myr),"DBD (variable, g/cm^3)",ich/cm2/myr,Point Person,Time Period,Into Oven,Out of oven,Date washed,Washed by,Dry Weight,Notes,Date acidified,Acidified by,Notes,Date Separated,Separated by,Notes,Date in Alizarin,Dyed by,Dye notes,Picked By,Date started,Date Ended,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Total Ichthyoliths,Total Ichthyoliths (manual),Notes on Picking,Date photographed,Photographed by,Hole 1 zoom level,Hole 2 zoom level (if relevant),Threshold Hole 1,Threshold Hole 2,
34,378,U1553,E,13,H,5,W,56,60,116.12,116.16,116.14,30.77971612,3.275438596,3275.438596,1.13604501,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
35,378,U1553,A,13,H,6,W,13,17,122.14,122.18,122.16,30.9635083,3.275438596,3275.438596,1.14111765,0,Iszac,,19-Dec,24-Jan,5/31/22,IMH,53.303,Big,6/2/22,IMH,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
36,378,U1553,A,14,H,5,W,33,37,131.46,131.5,131.48,31.24805035,3.275438596,3275.438596,1.18609091,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
37,378,U1553,E,16,H,2,W,94,98,142.81,142.85,142.83,31.65447046,2.792676736,2792.676736,1.13597065,6460.735212,Iszac,,19-Dec,24-Jan,6/14/22,IMH,53.522,,6/17/22,IMH,,6/28/22,IMH,stuck to bottom,,,,,7/25/22,8/1/22,,,,0,10,3,0,55,22,0,44,13,109,109,,,IMH,200x,,0.27,,
38,378,U1553,A,18,H,1,W,140,144,149.46,149.5,149.48,32.00130389,1.917346939,1917.346939,1.09195062,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
39,378,U1553,A,18,H,5,W,32,36,154.41,154.45,154.43,32.25947312,1.917346939,1917.346939,1.10819912,13539.74897,Iszac,,21-Nov,21-Dec,2/8/22,IMH,47.55,,3/4/22,IMH,,5/26/22,IMH/ECS,2.8 g/cm3,6/27/22,IMH,Only a small portion of <150 fraction got dyed,IMH,3/1/22,7/18/22,,,,2,21,15,0,73,52,0,207,78,303,303,,,IMH,200x,200x,0.33,0.32,
40,378,U1553,E,18,X,1,W,105,109,163.69,163.73,163.71,32.76655795,1.83006858,1830.06858,1.1475412,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
41,378,U1553,B,18,X,3,W,124,128,163.76,163.8,163.78,32.77054129,1.757317073,1757.317073,1.14696437,#DIV/0!,Iszac,,24-Jan,8-Feb,,IMH,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
42,378,U1553,A,20,H,2,W,22,26,171.12,171.16,171.14,33.18936155,1.757317073,1757.317073,1.21442456,#DIV/0!,Iszac,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
43,378,U1553,A,20,H,5,W,10,14,175.51,175.55,175.53,33.50109475,1.408255529,1408.255529,1.16503524,2194.301871,Iszac,,24-Jan,8-Feb,5/26/22,IMH,53.834,,5/27/22,IMH,,6/1/22,ECS/IMH,crystallized,,,,,7/18/22,7/21/22,,,,1,7,4,0,10,6,0,54,17,72,72,,,IMH,200x,200x,0.3,0.3,
44,378,U1553,A,21,F,1,W,98,102,180.48,180.52,180.5,33.91948282,1.187892377,1187.892377,1.13479323,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
45,378,U1553,B,20,X,3,W,3,7,184.55,184.59,184.57,34.26210646,1.187892377,1187.892377,1.1441514,0,Iszac,EOT-ish is actually here,19-Dec,24-Jan,6/14/22,IMH,41.581,,6/17/22,IMH,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
46,378,U1553,A,22,F,3,W,98,102,188.49,188.53,188.51,34.59378633,1.187892377,1187.892377,1.16243223,#DIV/0!,Iszac,,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
47,378,U1553,E,21,X,1,W,67,71,193.47,193.51,193.49,35.01301623,1.187892377,1187.892377,1.18553846,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
