,EXP 378 Samples Processing Log,,,,,,,,,,Age model based on CCSF-ABCDE-20200924,,,Shipboard Age,,,,Ich Accum (prelim),Bryan Age Model updates,,,,,,,Dry log,,Initial wash (DI water whole sample),,,,Acid Wash,,,Heavy Liquid Step,,,Alizarin Dye Step,,,Picking Log,,,>150 um,,,106-150 um,,,63-106 um,,,38-63 um,,,,,Don't edit this one,Edit this one!,,Imaging Log,Yale keyence only,,,Segmenting,"Green = complete ""final"" segment",
IODP Sample Request,Serial #,Exp,Site,Hole,Core,Core Type,Sect,Half,Top (cm),Bottom (cm),Top depth CCSF-378-U1553-ABCDE-20200924 (m),Bottom depth CCSF-378-U1553-ABCDE-20200924 (m),Mid-depth CCSF (calc),Age (Linear Interpolation),Sedimentation Rate (cm/Kyr),Sedimentation Rate (cm/Myr),"DBD (variable, g/cm^3)",ich/cm2/myr,Age (Ma) New,Age Difference,Sed rate (cm/kyr),Sed rate (cm/myr),IAR,Point Person,Time Period,Into Oven,Out of oven,Date washed,Washed by,Dry Weight,Notes,Date acidified,Acidified by,Notes,Date Separated,Separated by,Notes,Date in Alizarin,Dyed by,Dye notes,Picked By,Date started,Date Ended,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Total Teeth,Total Denticles,Total Ichthyoliths,Total Ichthyoliths (manual),Notes on Picking,Date photographed,Photographed by,Hole 1 zoom level,Hole 2 zoom level (if relevant),Threshold Hole 1,Threshold Hole 2,
91039IODP,43,378,U1553,A,20,H,5,W,10,14,175.51,175.55,175.53,33.50109475,1.408255529,1408.255529,1.16503524,2194.301871,32.83267492,-0.668419836,2.562195122,2562.195122,3992.336216,Iszac,,24-Jan,8-Feb,5/26/2022,IMH,53.834,,5/27/2022,IMH,,6/1/2022,ECS/IMH,crystallized,,,,IMH,7/18/22,7/21/22,,,,1,7,4,0,10,6,0,54,17,71,1,72,72,,,IMH,200x,200x,0.3,0.3,
91039IODP,44,378,U1553,A,21,F,1,W,98,102,180.48,180.52,180.5,33.91948282,1.187892377,1187.892377,1.13479323,#DIV/0!,33.02664921,-0.892833609,2.562195122,2562.195122,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,45,378,U1553,B,20,X,3,W,3,7,184.55,184.59,184.57,34.26210646,1.187892377,1187.892377,1.1441514,3660.864753,33.18549738,-1.076609073,2.562195122,2562.195122,7896.211809,Iszac,EOT-ish is actually here,19-Dec,24-Jan,6/14/2022,IMH,41.581,,6/17/2022,IMH,,8/4/2022,IMH,,,,,,,,,,,0,24,3,0,15,,0,73,,112,0,112,112,,,,,,,,
91039IODP,46,378,U1553,A,22,F,3,W,98,102,188.49,188.53,188.51,34.59378633,1.187892377,1187.892377,1.16243223,#DIV/0!,33.3619958,-1.231790536,2.23231465,2232.31465,#DIV/0!,Iszac,,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,47,378,U1553,E,21,X,1,W,67,71,193.47,193.51,193.49,35.01301623,1.187892377,1187.892377,1.18553846,#DIV/0!,33.7072479,-1.305768333,1.442424242,1442.424242,#DIV/0!,Iszac,,24-Jan,8-Feb,,IMH,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,48,378,U1553,A,24,X,2,W,54,58,196.27,196.31,196.29,35.24872782,1.187892377,1187.892377,1.19852991,#DIV/0!,33.90136555,-1.347362276,1.442424242,1442.424242,#DIV/0!,Iszac,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,49,378,U1553,B,22,X,1,W,86,93,197.09,197.16,197.125,35.31902039,1.187892377,1187.892377,1.20240415,4812.421575,33.9592542,-1.359766183,1.442424242,1442.424242,5843.587922,Iszac,,24-Jan,8-Feb,6/2/2022,IMH,47.488,,6/15/2022,IMH,Forgot to sieve >150,8/4/2022,IMH,,,,,IMH,8/22?,12/19/22,,,,3,27,12,0,50,7,0,80,,157,3,160,160,,,,,,,,
91039IODP,50,378,U1553,B,22,X,3,W,85,92,200.08,200.15,200.115,35.55279269,1.279022327,1279.022327,1.21627717,#DIV/0!,34.18743771,-1.365354978,1.310348839,1310.348839,#DIV/0!,Iszac,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,51,378,U1553,B,23,X,2,W,23,29,204.52,204.58,204.55,35.70823266,2.853191489,2853.191489,1.2368547,0,34.5275916,-1.180641065,1.303821656,1303.821656,0,Iszac,,1-Feb,14-Feb,5/25/2022,IMH,44.119,,5/27/2022,IMH,,6/1/2022,ECS/IMH,crystallized,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,52,378,U1553,A,25,X,3,W,122,126,206.95,206.99,206.97,35.79304996,2.853191489,2853.191489,1.24042276,#DIV/0!,34.7131998,-1.079850158,1.303821656,1303.821656,#DIV/0!,Iszac,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
